ID_Pengeluaran,no,Tanggal,Jam,Nama Pengeluaran,Jenis,Kategori,Jumlah,Apakah Stok?,ID Bahan Baku,Qty
9d6b9b66,291,11/06/2026,12.27.11,Timun,pengeluaran Cafe,Bahan Baku,3000,TRUE,,1
2f504b61,292,11/06/2026,15.12.11,Stella,Pengeluaran,Operasional,30000,,,
fe3398aa,293,11/06/2026,15.15.39,Lebih qris,pengeluaran Carwash,Operasional,16000,,,
d9115015,294,11/06/2026,17.47.05,Eza,Casbon,Casbon,40000,,,
686fb60a,295,11/06/2026,17.51.17,Eza,Casbon,Casbon,10000,,,
c3367b88,296,12/06/2026,12.17.29,Sikat,pengeluaran Carwash,Operasional,30000,,,
046883df,297,12/06/2026,12.39.03,Faisal,Casbon,Casbon,50000,,,
37b88674,298,13/06/2026,09.36.27,Esbatu,pengeluaran Cafe,Bahan Baku,10000,FALSE,,1
21cc5051,299,13/06/2026,11.07.31,Belanja Minyak Goreng,pengeluaran Cafe,Bahan Baku,20000,TRUE,BMK-09,1
bc2a274f,300,13/06/2026,11.13.48,Timun,Pengeluaran,Operasional,8000,,,
e45fee45,301,13/06/2026,11.14.01,Kecap bangao,Pengeluaran,Operasional,20000,,,
16a4ee76,302,13/06/2026,11.51.40,Lebih qris,Pengeluaran,Operasional,10000,,,
4b4f4b7f,303,13/06/2026,12.46.02,Ongkos kopi,Pengeluaran,Operasional,19000,,,
ff12454c,304,13/06/2026,13.26.15,Ongkir bg yazid,Pengeluaran,Operasional,23000,,,
f91788e9,305,13/06/2026,13.52.31,Belanja Sosis,pengeluaran Cafe,Bahan Baku,41500,TRUE,BMK-05,1
f63206e1,306,13/06/2026,13.52.53,Saos,pengeluaran Cafe,Bahan Baku,17000,FALSE,,
499fda01,307,13/06/2026,17.38.58,VICKY,Casbon,Casbon,100000,,,
a18603bc,308,14/06/2026,12.17.35,Lebih qria,Pengeluaran,Operasional,10000,,,
780ea4af,309,15/06/2026,09.13.32,Lebih qris,Pengeluaran,Operasional,20000,,,
b9ef8798,310,15/06/2026,18.32.27,Beras,pengeluaran Cafe,Bahan Baku,160000,TRUE,BMK-02,1
35d60ec7,311,15/06/2026,11.20.14,Bayar sampah,Pengeluaran,Operasional,50000,,,
0f463719,312,15/06/2026,11.59.00,Kawat,Pengeluaran,Operasional,5000,,,
2e7e2b37,313,15/06/2026,17.58.47,Pembersihan mesin air,pengeluaran Carwash,Operasional,110000,,,
7085a478,314,16/06/2026,09.47.24,Es batu,pengeluaran Cafe,Bahan Baku,10000,FALSE,,
,,,,,,,,,,
,,,,,,,,,,
1978901a,317,16/06/2026,11.58.39,Bagus,Casbon,Casbon,50000,,,
2d245cb6,318,16/06/2026,12.36.58,Sunlight,Pengeluaran,Operasional,10000,,,
64e9155b,319,16/06/2026,13.13.00,Slotip,Pengeluaran,Operasional,24000,,,
e3c88028,320,16/06/2026,13.13.22,Belanja Gula Putih,pengeluaran Cafe,Bahan Baku,19000,TRUE,BK-04,1
0f88e749,321,17/06/2026,11.23.28,Belanja SKM,pengeluaran Cafe,Bahan Baku,67000,TRUE,BK-02,4
4cd136da,322,17/06/2026,11.40.53,Iebih qris,Pengeluaran,Operasional,5000,,,
7529e4b5,323,18/06/2026,12.50.10,Sabun,pengeluaran Carwash,Bahan Baku,85000,,,
e445c529,324,20/06/2026,09.58.52,Bagus ambil paketan,Pengeluaran,Operasional,77000,,,
36872be9,325,20/06/2026,10.10.52,Es batu,pengeluaran Cafe,Operasional,10000,FALSE,,
50831054,326,20/06/2026,11.55.51,Oli,pengeluaran Carwash,Operasional,65000,,,
015e6c3a,327,20/06/2026,13.17.37,Belanja Le Mineral,pengeluaran Cafe,Bahan Baku,48000,TRUE,MB-01,1
70e4a318,328,20/06/2026,13.18.11,Galon,Pengeluaran,Operasional,30000,,,
260eeb7f,329,20/06/2026,13.18.23,Minyak wak udin,Pengeluaran,Operasional,10000,,,
31b7949e,330,20/06/2026,13.54.26,Saus,pengeluaran Cafe,Operasional,18500,FALSE,,
8f5c9d3b,331,20/06/2026,16.55.48,Sajiku,Pengeluaran,Bahan Baku,2500,,,
fff3c0a1,332,21/06/2026,10.22.27,Kawat,Pengeluaran,Operasional,5000,,,
aca3245a,333,21/06/2026,15.32.51,Lebih qris,Pengeluaran,Operasional,15000,,,
c4838ef9,334,22/06/2026,10.33.11,Esbatu,pengeluaran Cafe,Bahan Baku,10000,FALSE,,
708af91a,335,22/06/2026,10.33.24,Bumbu nasigoreng,pengeluaran Cafe,Bahan Baku,5000,FALSE,,
78518ae7,336,22/06/2026,12.30.52,NOPAL,Casbon,Casbon,50000,,,
22659058,337,22/06/2026,12.39.48,Lebih qris,Pengeluaran,Operasional,10000,,,
f443b21b,338,22/06/2026,12.57.05,Sabun,pengeluaran Carwash,Barang,85000,,,
e8890426,339,22/06/2026,13.45.52,Sendok,pengeluaran Cafe,Barang,33000,FALSE,,
41f33e16,340,22/06/2026,14.01.10,Belanja Minyak Goreng,pengeluaran Cafe,Bahan Baku,20000,TRUE,BMK-09,1
31f18a79,341,22/06/2026,14.07.18,Ambil uang paketan,Pengeluaran,Operasional,75000,,,
92b7dbbc,342,22/06/2026,14.58.48,Puding,Pengeluaran,Operasional,125000,,,
b9a0cf14,343,23/06/2026,10.28.19,Es batu,pengeluaran Cafe,Bahan Baku,10000,FALSE,,
4705ec0c,344,23/06/2026,11.04.39,Belanja Gula Putih,pengeluaran Cafe,Barang,18500,TRUE,BK-04,1
ee3a763d,345,23/06/2026,13.37.11,Safa,Casbon,Casbon,50000,,,
3a2b5c00,346,23/06/2026,15.12.16,Belanja Indomie Kuah,pengeluaran Cafe,Bahan Baku,20000,TRUE,BMK-07,6
472b0b77,347,23/06/2026,15.12.41,Belanja Indomie Goreng,pengeluaran Cafe,Bahan Baku,20000,TRUE,BMK-08,6
5af304da,348,23/06/2026,15.12.57,Timun & tomat,pengeluaran Cafe,Bahan Baku,10000,FALSE,,
b38160d2,349,23/06/2026,15.54.13,Paket wax kaca (bagus) sudah di ambil,Pengeluaran,Operasional,25000,,,
9baef43f,350,23/06/2026,17.55.02,Ferry,Casbon,Casbon,50000,,,
d0ef6ad1,351,23/06/2026,18.05.59,Lebih qris,Pengeluaran,Operasional,10000,,,
0b95973c,352,24/06/2026,11.33.57,Faisal,Casbon,Casbon,50000,,,
5422c1e6,353,24/06/2026,13.04.09,Anggaa,Casbon,Casbon,100000,,,
90d6e64e,354,24/06/2026,16.34.52,Bagus,Casbon,Casbon,100000,,,
a23a2d1a,355,25/06/2026,09.06.46,Bagus,Casbon,Casbon,61000,,,
34a30eec,356,25/06/2026,09.27.35,Es batu,pengeluaran Cafe,Operasional,5000,FALSE,,
9a9ff3d3,357,25/06/2026,15.01.56,Belanja Biji Kopi,pengeluaran Cafe,Bahan Baku,20000,TRUE,BK-01,1
c734c46e,358,25/06/2026,16.30.35,Bagus ambil uang paketan,Pengeluaran,Operasional,27000,,,
a1b1c16f,359,25/06/2026,17.53.30,NOPAL,Casbon,Casbon,50000,,,
a68bdc7b,360,26/06/2026,10.13.51,Esbatu,pengeluaran Cafe,Bahan Baku,5000,FALSE,,
28e303cf,361,26/06/2026,18.28.26,Indomie + telur (konsums pribadi),Pengeluaran,Operasional,17000,,,
f3a6bc00,362,26/06/2026,10.51.26,Belanja SKM,pengeluaran Cafe,Bahan Baku,60000,TRUE,BK-02,4
86771151,363,26/06/2026,11.31.32,Faisal,Casbon,Casbon,50000,,,
f7404745,364,26/06/2026,15.23.10,Esbatu,pengeluaran Cafe,Bahan Baku,5000,FALSE,,
8eeb486e,365,26/06/2026,15.49.03,Vicky,Casbon,Casbon,100000,,,
dae4b078,366,26/06/2026,15.51.22,Belanja Teh,pengeluaran Cafe,Barang,20500,TRUE,BK-06,2
91d38c77,367,27/06/2026,10.33.00,Es batu,pengeluaran Cafe,Operasional,5000,FALSE,,
1ba5db9f,368,27/06/2026,12.19.46,Konsumsi ( pribadi),Pengeluaran,Operasional,17000,,,
12ddfadc,369,27/06/2026,12.41.13,Lebih qris,Pengeluaran,Operasional,70000,,,
,,,,,,,,,,
6cf67fc2,371,27/06/2026,15.54.48,Fotocopy,Pengeluaran,Operasional,5000,,,
12fb4ba8,372,27/06/2026,16.14.15,Keran,Pengeluaran,Operasional,20000,,,
07b58eea,373,27/06/2026,17.31.30,NOPAL,Casbon,Casbon,100000,,,
ae2dcc71,374,28/06/2026,10.15.39,Esbatu,pengeluaran Cafe,Bahan Baku,5000,FALSE,,
17398c8e,375,28/06/2026,10.17.06,Sunlight,Pengeluaran,Barang,10000,FALSE,,
b2f40962,376,28/06/2026,10.34.03,Lebih qris,Pengeluaran,Operasional,10000,,,
923484b8,377,28/06/2026,10.58.09,Bagus,Casbon,Casbon,55000,,,
2737a83c,378,28/06/2026,13.08.49,Angga,Casbon,Casbon,100000,,,
e586e384,379,28/06/2026,16.08.46,Belanja Minyak Goreng,pengeluaran Cafe,Bahan Baku,20000,TRUE,BMK-09,1
2f32a704,380,28/06/2026,16.12.54,Fery ambil jatah paketan,Pengeluaran,Operasional,50000,,,
b0bc7dcc,381,28/06/2026,16.19.38,Bagus ambil jatah paketan,Pengeluaran,Operasional,25000,,,
083fad02,382,28/06/2026,17.59.05,Lebih qris,Pengeluaran,Operasional,5000,,,
b6a6e6cd,383,28/06/2026,18.05.13,Lebih qris,Pengeluaran,Operasional,100000,,,
03d2999b,384,29/06/2026,09.14.24,Es batu,pengeluaran Cafe,Operasional,5000,FALSE,,
d95bc2c1,385,29/06/2026,10.23.28,Galon,pengeluaran Cafe,Operasional,30000,FALSE,,
dead1f1e,386,29/06/2026,10.23.42,Belanja Telur,pengeluaran Cafe,Bahan Baku,54000,TRUE,BMK-10,30
56e4329a,387,29/06/2026,16.13.36,Bumbu nasi goreng,Pengeluaran,Operasional,3000,,,
e74e12cb,388,30/06/2026,09.28.46,Es batu,pengeluaran Cafe,Operasional,5000,FALSE,,
8c473150,389,30/06/2026,13.34.43,Belanja Badak,pengeluaran Cafe,Bahan Baku,135000,TRUE,MB-02,24
61cf1533,390,30/06/2026,15.15.15,Minyak wak udin,Pengeluaran,Operasional,10000,,,
38e2862d,391,30/06/2026,13.36.47,Faisal,Casbon,Casbon,20000,,,
bfab6a1a,392,01/07/2026,09.51.41,Esbatu,pengeluaran Cafe,Operasional,5000,FALSE,,
ff26e5d6,393,01/07/2026,09.51.52,Lebih qris,Pengeluaran,Operasional,10000,,,
910d3c99,394,01/07/2026,11.50.00,Beras,pengeluaran Cafe,Bahan Baku,163000,TRUE,BMK-02,1
612fa28e,395,01/07/2026,12.52.04,Bagus,Casbon,Casbon,50000,,,
638a1d5d,396,02/07/2026,10.42.08,Baju,Pengeluaran,Barang,232000,,,
eea7c74a,397,02/07/2026,10.42.30,Esbatu,pengeluaran Cafe,Bahan Baku,5000,FALSE,,
06ab31c2,398,02/07/2026,12.36.05,Lebih qris,Pengeluaran,Operasional,5000,,,
62d5828b,399,02/07/2026,15.27.19,Esbatu,Pengeluaran,Bahan Baku,5000,,,
9e7c5ef5,400,02/07/2026,18.46.45,Token,pengeluaran Carwash,Operasional,204500,,,
016c5238,401,03/07/2026,10.04.59,Belanja SKM,pengeluaran Cafe,Bahan Baku,60000,TRUE,BK-02,4
19ea825c,402,03/07/2026,10.05.16,Belanja Gula Putih,pengeluaran Cafe,Bahan Baku,18000,TRUE,BK-04,1
1bd9f542,403,03/07/2026,10.05.30,Es batu,pengeluaran Cafe,Operasional,5000,FALSE,,
9cc3b340,404,03/07/2026,14.17.18,Bumbu,pengeluaran Cafe,Operasional,5000,FALSE,,
5cbe3739,405,03/07/2026,14.55.16,Belanja Biji Kopi,pengeluaran Cafe,Bahan Baku,20000,TRUE,BK-01,2
6e04c05f,406,04/07/2026,09.48.08,Esbatu,pengeluaran Cafe,Operasional,5000,FALSE,,
122b5087,407,04/07/2026,10.35.26,Belanja Le Mineral,pengeluaran Cafe,Bahan Baku,50000,TRUE,MB-01,1
53dd788e,408,04/07/2026,15.22.26,Lebih qris,Pengeluaran,Operasional,10000,,,
28b6a965,409,04/07/2026,17.29.17,Sabun,pengeluaran Carwash,Barang,85000,,,
c2179db1,410,04/07/2026,18.04.22,Stp,pengeluaran Carwash,Barang,130000,,,
347dd044,411,04/07/2026,17.58.51,Nopal,Casbon,Casbon,50000,,,
df74b7b5,412,05/07/2026,10.11.43,Esbatu,pengeluaran Cafe,Operasional,5000,FALSE,,
f3dbd0f6,413,05/07/2026,11.41.51,Kanebo,pengeluaran Carwash,Operasional,64000,,,
5c738523,414,05/07/2026,12.00.40,Minyak,Pengeluaran,Operasional,16000,,,
cbae6ba5,415,05/07/2026,13.19.54,Garam,pengeluaran Cafe,Operasional,7500,FALSE,,
36114851,416,05/07/2026,13.19.36,Royco,pengeluaran Cafe,Operasional,10000,FALSE,,
656fc778,417,05/07/2026,19.37.08,Paketan sudah di ambil (eza),Pengeluaran,Operasional,50000,,,
4b78c0cf,418,05/07/2026,17.26.49,Paketan sudah di ambil (bagus),Pengeluaran,Operasional,50000,,,
90cf7501,419,06/07/2026,09.20.49,Pengeluaran,pengeluaran Cafe,Bahan Baku,5000,FALSE,,
4d2ae43e,420,06/07/2026,13.41.44,Esbatu,pengeluaran Cafe,Bahan Baku,5000,FALSE,,
983beee2,421,06/07/2026,13.41.58,Bumbu nasi goreng,pengeluaran Cafe,Bahan Baku,5000,FALSE,,
c641b173,422,06/07/2026,15.31.13,Sunlight,Pengeluaran,Bahan Baku,10000,,,
2009b4f1,423,06/07/2026,17.45.11,Print,Pengeluaran,Operasional,2000,,,
d05fd339,424,07/07/2026,12.11.11,Esbatu,pengeluaran Cafe,Operasional,5000,FALSE,,
512f0e65,425,07/07/2026,12.15.51,Foto copy,Pengeluaran,Operasional,5000,,,
f704e1bb,426,07/07/2026,14.49.32,Belanja Minyak Goreng,pengeluaran Cafe,Bahan Baku,20000,TRUE,BMK-09,1
2060dde0,427,07/07/2026,14.49.20,Saos,pengeluaran Cafe,Bahan Baku,18000,FALSE,,
d25e9a64,428,07/07/2026,17.04.39,Lebih qris,Pengeluaran,Operasional,10000,,,
47592132,429,08/07/2026,09.12.46,Esbatu,pengeluaran Cafe,Operasional,5000,FALSE,,
689c38c6,430,08/07/2026,11.36.22,Ferry,Casbon,Casbon,100000,,,
1871679e,431,08/07/2026,16.29.46,Lebih qris,Pengeluaran,Operasional,10000,,,
b470bc76,432,09/07/2026,10.14.05,Esbatu,pengeluaran Cafe,Bahan Baku,5000,FALSE,,
5200394d,433,09/07/2026,19.00.29,Selai roti (konsumsi pribadi),Pengeluaran,Operasional,15000,,,
86bff3dc,434,09/07/2026,10.14.54,Galon,pengeluaran Cafe,Bahan Baku,30000,FALSE,,
10801a80,435,09/07/2026,10.59.33,Belanja Gula Putih,pengeluaran Cafe,Bahan Baku,18500,TRUE,BK-04,1
f04e3032,436,09/07/2026,15.08.35,Jatah paketan ferri sudah di ambil,Pengeluaran,Operasional,50000,,,
893f8ab4,437,09/07/2026,18.19.54,Vicky,Casbon,Casbon,50000,,,
9d882745,438,10/07/2026,11.05.11,Esbatu,pengeluaran Cafe,Bahan Baku,5000,FALSE,,
29120579,439,10/07/2026,11.05.41,Belanja Le Mineral,pengeluaran Cafe,Bahan Baku,50000,TRUE,MB-01,2
c3f67b1e,440,10/07/2026,11.06.20,Lebih qris,Pengeluaran,Operasional,10000,,,
49619dc5,441,10/07/2026,12.20.16,Rondap,Pengeluaran,Operasional,10000,,,
93774ca9,442,10/07/2026,13.48.33,Tomat,pengeluaran Cafe,Bahan Baku,3000,FALSE,,
063219eb,443,10/07/2026,13.49.10,Timun,pengeluaran Cafe,Bahan Baku,3000,FALSE,,
70817356,444,10/07/2026,17.16.06,Nopal,Casbon,Casbon,50000,,,
cc43e954,445,11/07/2026,09.32.43,Esbatu,pengeluaran Cafe,Bahan Baku,5000,FALSE,,
7b37a326,446,11/07/2026,13.03.08,Nopal,Casbon,Casbon,50000,,,
9d284e1d,447,11/07/2026,13.24.26,Mama lemon,Pengeluaran,Bahan Baku,10000,,,
2dd44f63,448,11/07/2026,17.44.42,Ferry,Casbon,Casbon,100000,,,
926ebb08,449,12/07/2026,09.16.57,Lebih qris,Pengeluaran,Operasional,10000,,,
c5459a34,450,12/07/2026,13.55.32,Belanja Teh,pengeluaran Cafe,Bahan Baku,20000,TRUE,BK-06,2
fd13a0b6,451,12/07/2026,13.56.31,Es batu,pengeluaran Cafe,Operasional,5000,FALSE,,
a1eb2410,452,12/07/2026,13.56.49,Konsumsi,Pengeluaran,Operasional,13000,,,
f607d1db,453,12/07/2026,16.22.42,Bagus,Casbon,Casbon,50000,,,
14cf703f,454,12/07/2026,18.09.15,Minyak bg raka,Pengeluaran,Operasional,35000,,,
e8050d4c,455,13/07/2026,09.17.04,Es batu,pengeluaran Cafe,Operasional,5000,FALSE,,
8fbef9c0,456,13/07/2026,12.34.48,Vicky,Casbon,Casbon,50000,,,
7ee68ffe,457,13/07/2026,14.59.51,Belanja Biji Kopi,pengeluaran Cafe,Bahan Baku,20000,TRUE,BK-01,2
de66a61d,458,13/07/2026,16.08.16,Lebih qris,Pengeluaran,Operasional,10000,,,
295c0b59,459,14/07/2026,09.17.23,Esbatu,pengeluaran Cafe,Operasional,5000,FALSE,,
d49ccb27,460,14/07/2026,11.09.25,Belanja SKM,pengeluaran Cafe,Bahan Baku,60000,TRUE,BK-02,4
c9fde45d,461,14/07/2026,11.09.38,Belanja Gula Putih,pengeluaran Cafe,Bahan Baku,19000,TRUE,BK-04,1
4081c929,462,14/07/2026,12.55.23,Sampah,Pengeluaran,Operasional,50000,,,
45a3f763,463,14/07/2026,13.52.13,Lebih qris,Pengeluaran,Operasional,10000,,,
fc38e37e,464,14/07/2026,17.50.12,Bagus,Casbon,Casbon,100000,,,
cc123bbe,465,15/07/2026,09.11.33,Es batu,pengeluaran Cafe,Operasional,5000,FALSE,,
dcb8fb1b,466,15/07/2026,09.44.13,Lebih qris,Pengeluaran,Operasional,15000,,,
6bb7f026,467,15/07/2026,10.53.49,Vicky,Casbon,Casbon,12000,,,
9fc2661e,468,15/07/2026,16.08.31,Belanja Indomie Goreng,pengeluaran Cafe,Bahan Baku,18000,TRUE,BMK-08,6
610bca44,469,15/07/2026,12.35.49,Pewangi,pengeluaran Carwash,Operasional,36000,,,
b0694e4f,470,15/07/2026,14.46.48,Faisal,Casbon,Casbon,50000,,,
2799a94d,471,16/07/2026,09.30.14,Esbatu,pengeluaran Cafe,Operasional,5000,FALSE,,
,,,,,,,,,,
852a1d21,473,16/07/2026,11.22.13,Galon,pengeluaran Cafe,Operasional,30000,FALSE,,
e7d2bdf4,474,17/07/2026,09.28.47,Esbatu,pengeluaran Cafe,Operasional,5000,FALSE,,
ef37fca3,475,18/07/2026,10.42.57,Esbatu,pengeluaran Cafe,Operasional,5000,FALSE,,
1abe4c17,476,19/07/2026,09.56.41,Esbatu,pengeluaran Cafe,Bahan Baku,10000,FALSE,,
d5d63ecf,477,19/07/2026,12.51.10,Belanja Badak,pengeluaran Cafe,Bahan Baku,135000,TRUE,MB-02,24
fb2500d4,478,19/07/2026,12.52.24,Minyak wak udin,Pengeluaran,Operasional,10000,,,
619c093e,479,19/07/2026,13.43.05,Token listrik,pengeluaran Carwash,Operasional,204500,,,
ad17bc8a,480,19/07/2026,16.09.03,Lebih qris,Pengeluaran,Operasional,5000,,,
bb6cec99,481,20/07/2026,08.40.50,Foto copy kertas antrian,pengeluaran Carwash,Operasional,5000,,,
21728f85,482,20/07/2026,10.54.26,Lebih qris,Pengeluaran,Operasional,15000,,,
78256002,483,20/07/2026,15.41.36,Sabun,pengeluaran Carwash,Bahan Baku,85000,,,
49d6e3e9,484,20/07/2026,15.45.14,Ferry,Casbon,Casbon,200000,,,
08ae4edc,485,20/07/2026,15.52.13,Belanja Nasi,pengeluaran Cafe,Bahan Baku,170000,TRUE,BMK-02,1
9c0f1f55,486,20/07/2026,18.22.21,Bagus,Casbon,Casbon,100000,,,
47d3622c,487,21/07/2026,12.05.25,Lebih qris,Pengeluaran,Operasional,20000,,,
8fcb067e,488,21/07/2026,14.48.17,Ferri,Casbon,Casbon,100000,,,
5d18d0c9,489,21/07/2026,16.16.30,Nopal,Casbon,Casbon,100000,,,
fdc93fba,490,21/07/2026,17.14.48,Safa,Casbon,Casbon,20000,,,
ef842c0a,491,22/07/2026,10.12.21,Safa,Casbon,Casbon,100000,,,
9cfafcff,492,22/07/2026,10.23.55,Esbatu,Pengeluaran,Bahan Baku,10000,,,
2e55ca25,493,22/07/2026,16.59.57,Fotokopi,Pengeluaran,Operasional,3000,,,
8541d2f9,494,22/07/2026,17.00.15,Belanja Gula Putih,pengeluaran Cafe,Bahan Baku,20000,TRUE,BK-04,1
53dff426,495,23/07/2026,12.22.22,Vicky,Casbon,Casbon,12000,,,
b0ee8048,496,23/07/2026,14.00.39,Lebih qris,Pengeluaran,Operasional,100000,,,
03337d11,497,23/07/2026,16.15.58,Tambahan token,Pengeluaran,Operasional,5000,,,
cfb7858d,498,23/07/2026,17.12.05,Konsumsi,Pengeluaran,Operasional,30000,,,
ce335ba0,499,23/07/2026,17.43.01,Belanja Telur,pengeluaran Cafe,Bahan Baku,50000,TRUE,BMK-10,30
